sentence,sentiment,sentiment_encoded
"acando ab ( acanb ss ) fell 8.9 percent to 13.35 kronor , the lowest close since dec. 11 .",negative,0
"with the measures , suominen corporation aims to ensure the competitiveness of the flexible packaging business in the long term .",positive,2
"@ifhedieshedies: @bullhorn334: $znga shorts are getting nervous""""",positive,2
the financial statements release will be available after publishing on the company 's internet pages at www.cargotec.com .,neutral,1
"the world of glass is coming to egypt and we invite visitors from all around the world to attend glass world exhibition 2009 , register now at www.glassworldex.com",neutral,1
"comparable operating profit totaled eur 4.7 mn , down from eur 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",negative,0
"most of the raw materials come from europe and the us and are paid in euros or us dollars , while sales take place in rubles .",neutral,1
"( adpnews ) - may 4 , 2010 - finnish cutlery and hand tools maker fiskars oyj abp ( hel : fisas ) said today its net profit declined to eur 12.9 million ( usd 17m ) in the first quarter of 2010 from eur 17 million in the correspond",neutral,1
"a maximum of 666,104 new shares can further be subscribed for by exercising b options under the 2004 stock option plan .",neutral,1
it inspects the companys strategic strengths and weaknesses .,neutral,1
no planned closing date was provided .,neutral,1
"the lemminkainen group , headquartered in helsinki , finland operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .",neutral,1
the implementation of the deal is subject to the approval by the finnish competition authority .,neutral,1
"microsoft also churned up its courtship , agreeing to use the navteq mapping service , which is offered by a company nokia bought for $ 8.1 billion a few years ago .",positive,2
the geosolutions team further provides an intriguing new technology combining gps and mobile-based technologies together with internet-based social networking .,neutral,1
"the 3c expo is a signature show in dongguan , which is supported by the dongguan municipal government every year , featuring computer accessories , software , communication and network products .",neutral,1
pharmaceuticals - poland this brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in poland .,neutral,1
"trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in helsinki tomorrow .",neutral,1
the dual-fuel engines of the vessel can operate on liquefied natural gas lng with low emissions .,neutral,1
"- among other finnish shares traded in the us , stora enso closed 0.33 pct lower at 12.11 eur , upm-kymmene was up 0.28 pct at 18.10 eur , and metso was down 0.13 pct at 31.06 eur .",neutral,1
"in addition to the presentations held by president & ceo kai telanne and cfo tuomas itkonen , participants will have an opportunity to discuss with other members of the company 's management .",neutral,1
"the change in holdings in accordance with chapter 2 , section 9 of the finnish securities markets act is described below .",neutral,1
"with capman as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says christopher wynne , ceo of papa john 's russia .",positive,2
the cranes would be installed onboard two freighters ordered by singaporean ship owner masterbulk .,neutral,1
the business to be divested generates consolidated net sales of eur 60 million annually and currently has some 640 employees .,neutral,1
"adpnews - feb 5 , 2010 - finnish real estate investor sponda oyj hel : sda1v said today that it slipped to a net loss of eur 81.5 million usd 11.8 m in 2009 from a profit of eur 29.3 million in 2008 .",neutral,1
"the company , which has eur2 .8 bn in assets , counts among its five largest shareholders finnish insurers ilmarinen 4.34 % and varma 0.70 % , as well as the finnish state pension fund ver 0.61 % .",neutral,1
"in addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed .",neutral,1
@chessnwine: $iwm 30-minute chart. small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0kkm,negative,0
corporate it update - ( c ) 1995-2009 m2 communications ltd finnish technology group teleste corporation ( omx helsinki : tlt1v ) reported on wednesday ( 4 february ) an operating profit of eur5 .6 m on net sales of eur108 .7 m for the year 2008 .,neutral,1
"stockholm-based nordea bank ( sto : nda ) said yesterday it had hired casper von koskull to lead its corporate merchant banking and capital markets unit , effective 1 september .",neutral,1
the total need for staff cuts corresponds to about 300 man-years .,negative,0
finnish fibers and plastic products maker suominen corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,positive,2
companiesfresnillo shares jump 8% as silver price breaks $21,positive,2
bluewin security is available as a monthly subscription .,neutral,1
"operating profit was eur 11.4 mn , up from eur 7.5 mn .",positive,2
finnish raisio ( diagnostics ) is launching new dna-based quick tests to ensure the safety of food .,positive,2
the non-recurring costs caused to talentum 's premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007 .,neutral,1
"finnish software developer basware oyj said on november 30 , 2006 its u.s. subsidiary basware , inc. won an order to provide software for contract lifecycle management to an unnamed u.s. medical technology company .",positive,2
the chain is to unite 45-50 centres by the end of 2008 .,neutral,1
"the important thing now is to keep the bank 's existing 15,000 customers .",neutral,1
the prices of stainless steel also rose in europe .,neutral,1
"in sweden , gallerix accumulated sek denominated sales were down 1 % and eur denominated sales were up 11 % .",neutral,1
$isrg - isrg short - http://stks.co/f1vvu http://stks.co/c1qrm,negative,0
$dara breaking out,positive,2
"a total of 38,244 new citycon shares with a nominal value of eur 1.35 per share were subscribed on 19 april exercising the a-b-c options based on the company 's stock option plan 1999 .",neutral,1
$aapl i'm sure those short are holding their breath hoping for a miracle. lol,positive,2
`` management decided at the end of 2005 to increase cathode copper capacity .,neutral,1
image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . '',neutral,1
shire says internal synergy goals from baxalta deal higher,positive,2
one of the largest projects of the magazine division of sanomawsoy - sanoma magazines international in 2006 became launch of the russian magazine gloriya .,neutral,1
finnish airline finnair is starting the temporary layoffs of cabin crews in february 2010 .,neutral,1
the sellers were the founders of the company .,neutral,1
"foodservice and consumer goods markets are served by approximately 13,000 people in 54 manufacturing units and several sales offices in 33 countries .",neutral,1
"the acquisition does not have to be from the frozen foods or fish sector , as long as it has synergies with l+ã±nnen tehtaat 's other businesses .",neutral,1
$gnrc finding support at its 10-day line so far.,positive,2
"under the transaction agreement , metsaliitto will purchase 24.7 % of metsa-botnia 's shares from upm and 3 % from m-real .",neutral,1
"britain's ftse falls back with ashtead, commodities under pressure",negative,0
sales by seppala diminished by 6 per cent .,neutral,1
$bbry bye bye sammy. hello bb. sounds like we'll see some green tomorrow.,positive,2
"as capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .",negative,0
"rockwell collins is a provider of flight deck , cabin and information management solutions for business aircraft operators .",neutral,1
"the floor area of the yliopistonrinne project will be 7,900 sq m and the building 's gross area will total 12,800 sq m. a total 25.1 % of the facilities have been let .",neutral,1
$nflx vision : short term consolidation then movement higher http://stks.co/j05uu,positive,2
"theodosopoulos said tellabs could be of value to nokia siemens or nortel given its `` leading supply status '' with verizon , along with high-growth products .",positive,2
"in his current position , manty has worked since 1996 .",neutral,1
with the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,positive,2
analyst views: astrazeneca shares have seen recent volatility; what will 2015 ...,negative,0
earnings per share ( eps ) dropped to eur 0.21 from eur 0.31 .,neutral,1
"`` after the transaction , tikkurila has no powder coatings-related operations , '' the company said .",neutral,1
"are arm holdings plc, domino's pizza group plc and asos plc 3 must-have growth stocks?",neutral,1
"pearl plaza llc , the joint venture of srv and shanghai industrial investment holdings co ltd , has concluded the investment decision on construction of the first phase of the shopping center in saint petersburg , russia .",positive,2
the measures result from decreased demand in technical design and product information .,neutral,1
"finnish financial group aktia reports operating profit of eur 44.4 mn in january-september 2009 , up from eur 37.3 mn in the corresponding period in 2008 .",positive,2
"key price to watch in $nflx, off the previous double top reject, 218.23 http://stks.co/siyn",negative,0
finnish glass technology company glaston oyj abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .,neutral,1
city spirits sink after diageo comes up short with sales slide,negative,0
operating loss increased to eur 17mn from a loss of eur 10.8 mn in 2005 .,neutral,1
"alexandria , va. , june 7 -- michael g. williams of newbury park , calif. , has developed a network device .",neutral,1
olvi has posted a strong set of figures for the first six months of this year .,positive,2
stanchart and rbs struggle in bank of england stress tests,negative,0
"in the beginning of this year , wartsila had secured an order to deliver four gas-fuelled main engines and propulsion machinery for the same vessel .",positive,2
"in january-november 2009 , the group 's sales totalled eur 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008 .",negative,0
"glaxosmithkline targets growth across units, scraps viiv ipo",positive,2
bhp billiton share price: brazil to sue samarco for ã‚â£3.5bn,negative,0
"it comes complete with an lcd touch screen system for selection of your chosen function and prices start at around the pounds 4,805 mark .",neutral,1
revenue in the quarter fell 8 percent to ( euro ) 2.4 billion compared to a year earlier .,neutral,1
"after the split , the company would have 26,885,540 series a shares and 9,540,000 series k shares .",neutral,1
"a. le coq special was developed for the bicentenary of the company and the trade mark , the brewer said .",neutral,1
arcelormittal chief executive officer lakshmi mittal has already cut output at some furnaces .,neutral,1
operating profit fell to eur 15.1 mn from eur 24.6 mn in 2006 .,neutral,1
the bridge is part of the highway 14 development project .,neutral,1
"kesko agro lietuva , the agricultural machinery and grain trader and another member of the kesko group , boosted its sales by 42.9 percent to 13.4 million euros , vat inclusive .",positive,2
"( adpnews ) - dec 1 , 2009 - finnish cutlery and hand tools maker fiskars oyj abp ( hel : fisas ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary iittala group ltd. .",negative,0
metso foundries jyvaskyla oy will discontinue production on this line by 30 september 2008 .,neutral,1
the sale price was not disclosed .,neutral,1
"helsinki ( afx ) - retail and wholesale group kesko reported net sales of 659.4 mln eur for february , an increase of 10.8 pct year-on-year .",positive,2
"in february 2011 , new wording of identity documents act that makes mobile id a state-approved electronic document as of february 1st 2011 entered into force .",neutral,1
"antti orkola , president of kemira growhow 's industrial solutions unit , told thomson financial news the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",negative,0
you 're not alone .,neutral,1
"2009 3 february 2010 - finland-based steel maker rautaruukki oyj ( hel : rtrks ) , or ruukki , said today it slipped to a larger-than-expected pretax loss of eur46m in the fourth quarter of 2009 from a year-earlier profit of eur45m .",negative,0
"the sale of savcor face to cencorp will result in a profit or loss which can not yet be determined , owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates .",neutral,1
the acquisition of +ã landsbanken sverige in 2009 burdened the performance with eur 3.0 mn .,neutral,1
it is the first application in the market for invoice and purchase requisition approval with a mobile device .,neutral,1
"a helsinki : eliiv today reported eps of eur1 .13 for 2009 , an increase over eps of eur1 .12 in 2008 .",positive,2
easyjet dismisses lufthansa low-cost plan in contest for germany,negative,0
orders received grew by 55 % year-on-year to eur732m .,positive,2
"in january-august 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 .",negative,0
"finnish broadband data communication systems provider teleste oyj hel : tlt1v said yesterday it returned to a net profit of eur 2.7 million usd 3.8 m for the first nine months of 2010 versus a net loss of eur 579,000 for the same period of 2009 .",positive,2
"adpnews - dec 23 , 2009 - norwegian financial services group sparebank 1 gruppen as osl : sbgrp said its board of directors appointed today jarle haug managing director of its claims collection subsidiary sparebank 1 gruppen finans",neutral,1
"finnish-owned contract manufacturer of electronics elcoteq hungary kft has announced plans to recruit more than 650 new staffers to fulfill new orders in p+â®cs , where the company has two plants .",positive,2
"at 12.59 pm , the omx helsinki 25 index was 0.32 pct lower at 2,694.81 .",neutral,1
"nyrstar has also agreed to supply to talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive,2
23 april 2010 - finnish construction and engineering company outotec oyj hel : ote1v said today it slipped to a net loss of eur7 .3 m in the first quarter of 2010 from a net profit of eur12 .5 m in the corresponding period last year .,negative,0
"revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier .",neutral,1
"rt @dasan @tmtanalyst ...since $aapl mastered their supply chain // in cornering nand, apple mastered everyone's supply chain!",positive,2
poyry 's net sales in 2007 amounted to about eur 720 million and it employs 7400 experts .,neutral,1
the adjustments concern staff in both the specialty papers and the fiber composites segments .,neutral,1
"according to the notification , the holdings of ameriprice inc. and its group companies are now in total 808,973 shares , which represent 3.582 % of tekla -â¦ s shares and voting rights .",neutral,1
"#apple breaks major support, here are some levels to watch - http://stks.co/jrmw $aapl $qqq",negative,0
royal mail chairman donald brydon set to step down,negative,0
it also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,neutral,1
their offering also covers localisation services related to production transfer to the finnish company 's customers that already have production in asian market or have made the decision to transfer production there .,neutral,1
"dbs, julius baer emerge as potential bidders for barclays asia wealth unit ...",positive,2
the fair value of investment properties was eur 2 251.0 ( 1 281.4 ) million .,neutral,1
"companiestravis perkins lifts dividend, earnings rise 15%",positive,2
"okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",positive,2
"comparable operating profit totaled eur 4.7 mn , down from eur 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",neutral,1
"the equipment is designated to bollore africa logistics terminal societe d'exploitation du terminal de vridi setv in abidjan , ivory coast and the delivery is scheduled to start in march 2010 .",neutral,1
"teleste 's hybrid tv solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including hfc ( hybrid fibre-coaxial ) , xdsl , etth , and ftth .",neutral,1
"in 2006 the company 's net sales amounted to approximately eur259m and it has some 8,000 employees .",neutral,1
new novator products are supposed to be exported .,neutral,1
elcoteq has a global network of after market service sites which have a long experience in serving consumer electronics and systems solutions customers .,neutral,1
finnish component supplier componenta corporation ( omx helsinki : cth1v ) reported on tuesday ( 15 july ) an operating profit of eur46 .2 m on net sales of eur386 .0 m for the financial period january-june 2008 .,neutral,1
$save breaking it's downtrend line on increasing volume. a move above 20.57 could see more upside. http://stks.co/l8y4,positive,2
"the official opening of the office , located in prague , will be celebrated on may 20 .",neutral,1
apple: another attempt to break out on apple but with weak pvt   $aapl #trading #investing #aapl https://t.co/dnh7hgv22v,positive,2
it also turned to earnings per share ( eps ) of eur 0.08 versus loss per share of eur 0.04 .,positive,2
completion of the transaction is subject to a final agreement and a due diligence process .,neutral,1
morrisons finance chief to fill gap as ceo leaves early,negative,0
"earnings per share ( eps ) amounted to eur0 .98 , up from the loss of eur0 .02 .",positive,2
tiimari operates 194 stores in six countries -- including its core finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,1
"changes being announced today will be effective after the close of trading on friday , june 19 , 2009 .",neutral,1
"according to chairman michael hornborg , the organizations has merely criticised raisio 's weak performance .",neutral,1
bae systems's sales boosted by european typhoon and currencies,positive,2
"honkarakenne also decided yesterday to sell 88,500 of its b series shares to key staff members for eur2 .9 per share .",neutral,1
to raise consumer awareness and encourage people to recycle their old mobile devices nokia runs regular recycling campaigns around the world .,neutral,1
"in the baltics , the merger of the businesses of the two is expected to be completed in early 2008 .",neutral,1
"tieto was looking for an energy solution which would best support the idea of sustainable development , and we were happy to be able to provide such a solution , saysjouni haikarainen , vice president , fortum .",positive,2
expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .,neutral,1
"stockmann plc company announcement february 20 , 2007 , at 13.40 an annual summary of stockmann 's stock exchange and financial press releases in 2006 is available on the company 's website at the address www.stockmann.com .",neutral,1
"@hopeturock yes, the expectations of a deal are somewhat priced in but we could see a nice pop if bids come in higher than expected... $yhoo",positive,2
$aapl dips being bought up real quick. higher lows fo sho,positive,2
operating profit for continuing operations fell to eur 48.3 mn from eur 72.4 mn in the first half of 2007 .,neutral,1
"basware 's ceo ilkka sihvo comments in conjunction with the interim report : `` as a whole , basware succeeded well in the second quarter of 2007 .",positive,2
"s nasdaq omx : geo1v , gypsii business unit , developers of the award-winning gypsii mobile social networking application , today announced its availability as a free download via the samsung mobile applications store .",neutral,1
"`` i 'm trying to deal with slavery from a different perspective to balance the story , '' says deramus , formerly a writer at the detroit free press and the detroit news .",neutral,1
"compared with the ftse 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % .",negative,0
why alphabet inc was just upgraded to buy https://t.co/devnlkhqtz $googl,positive,2
all of raisio 's divisions recorded an operating profit .,positive,2
the announcement comes two weeks before a key licensing agreement expires between between the two companies which are embroiled in a disagreement over royalty payments for texas instrument chips which use qualcomm-patented technology .,neutral,1
"the share capital of alma media corporation (business id 1944757-4)is eur 45,031,513.80 and it is divided into 75,052,523 shares .",neutral,1
the forecast for 2012 is 3.3 % .,neutral,1
the hull of the vessel was built one block at a time and ruukki delivered the plate material for each block as construction progressed .,neutral,1
operating profit was eur 1.6 mn in 2005 compared to eur 5.9 mn in 2004 .,negative,0
"the reason for this is st. petersburg status as a capital , one of the participants in the meeting quoted chikunov as saying .",neutral,1
upon completion of the sale proha would get some usd12 .7 m for its stake in artemis .,neutral,1
"buffett's berkshire builds deere stake, dumps exxon",positive,2
last year 's net sales rose to eur 68.3 million from eur 62.2 million .,positive,2
"earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .",positive,2
finnish talvivaara mining co hel : tlv1v said thursday it had picked bofa merrill lynch and jpmorgan nyse : jpm as joint bookrunners of its planned issue of convertible notes worth up to eur250m usd332m .,neutral,1
$mxwl oh snap. just went long again. lt,positive,2
operating profit decreased to eur 11.2 mn from eur 16.6 mn .,negative,0
"panostaja , headquartered in tampere , finland , is an investment company focusing on small and medium-sized finnish companies operating in the traditional industries .",neutral,1
"the corresponding increase in the share capital , in total eur 300,00 was registered in the finnish trade register on may 8 , 2008 .",neutral,1
"capman plc press release 31 march 2008 jukka ruuska , president of the omx nordic exchanges and the stockholm stock exchange , will transfer to capman effective no later than september 2008 .",neutral,1
the dismissed staff members will now take the matter to court unless it can be settled outside .,neutral,1
"according to finnish petrol station chain st1 's managing director kim wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",neutral,1
`` we know there are some of our own people out there . '',neutral,1
"the metal has gained 41 percent this year as demand from china , the world 's largest user , increased .",positive,2
this is a much better process than using virgin paper as it requires less transportation of wood pulp from places like finland and canada .,positive,2
"revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier .",negative,0
followed the levels i shared with you on $nflx $googl $tsla calls for nice gains. still holding $fb 110 calls. week made in a morning.,positive,2
the company will enhance the gprs capability in the existing 12 idea telecom service areas and add 10 more service areas to its network .,positive,2
"with the new arrangement , customer responsibilities will become mainly regional .",neutral,1
"the sale will result in a capital loss of eur5m for solidium , which obtained tikkurila shares in march 2010 .",neutral,1
"the study evaluated the safety , tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis .",neutral,1
"following the registration , the number of issued and outstanding shares of basware is 12,890,829 .",neutral,1
"in the second quarter of 2010 , the group 's pretax loss narrowed to eur 400,000 from eur 600,000 .",positive,2
"the finland-based company says it will move into an existing 260,000-square-foot facility in september .",neutral,1
"the company is now withdrawing the second part , eur 7.2 mn , of the investment commitment .",neutral,1
"finnish printed circuit boards ( pcbs ) maker aspocomp group oyj said on december 4 , 2006 it named henry gilchrist senior vice president of the group 's asian operations , as of january 8 , 2007 .",neutral,1
here come the shorts marchin' in.  $gmcr.  lovin' it!,negative,0
grapevine city officials in september approved $ 35 million in tax rebates and grants for the expansion .,positive,2
sponda plans to renovate old real estate and develop new property .,neutral,1
from merisatama to the far corners of the world asfaltti osakeyhti+ã‚ lemmink+ã±inen was established in 1910 by a group of master builders in helsinki as a specialist business and subcontractor .,neutral,1
"austin , texas , sept. 6 -- texas department of transportation awards contract for teleste video compression and distribution equipment .",positive,2
the transaction value is cad 15 million approximately eur 10 million .,neutral,1
"with the extension of the new contract for a further eight engines , the plant will now produce over 100 mw , it said .",positive,2
stora enso will receive a 19.9 pct equity interest in the combined company .,neutral,1
"beef imports fell slightly from 2006 , to 14mn kilos .",neutral,1
"we serve a broad range of customers , including construction and process industries , shipyards , the public sector and households .",neutral,1
"$kndi let's see some higher highs and higher lows rest of the day , slow and steady",positive,2
"finnish electronics manufacturing services ems company elcoteq se posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 .",neutral,1
"then , it said the contract was estimated to contribute more than eur150m to its net sales in 2010 .",positive,2
no financial details were reported .,neutral,1
balfour beatty plc set to reinstate dividend (and rival national grid plc and centrica plc once more?),positive,2
"viking line 's cargo revenue increased by 5.4 % to eur 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive,2
finnish power company fortum reports 89 % of its electricity was generated without carbon dioxide emissions in 2007 .,neutral,1
"cargotec corporation , press release , august 26 , 2008 at 10 a.m. finnish time cargotec 's macgregor business area providing marine cargo handling and offshore load handling solutions has received significant offshore crane retrofit order .",positive,2
"`` the change will optimize the operational efficiencies of our growing business , '' said julia prohaska , director of marketing communications for fiskars .",positive,2
"helsinki 19 may 2010 - finnish company lemminkainen oyj ( hel : lem1s ) said today that it will construct an office building at toolonlahti in downtown helsinki , without disclosing financial details .",neutral,1
`` the additional flight linking mumbai with helsinki was dictated by the strong traffic demand between asia and europe .,positive,2
"the whitehall street real estate funds invest in real estate and real estate related assets , principally through the acquisition of real estate companies , real property and mortgage loans .",neutral,1
"helsinki ( thomson financial ) - m-real said it will exercise an option to buy a 50mw natural gas power plant and land in kyroskoski , finland , for around 13 mln eur from kyro oyj .",positive,2
incap contract manufacturing services private limited has inked agreements with six new customers in india .,positive,2
glencore fight back over debt fears lifts shares,positive,2
$fb slight green... may be runner later,positive,2
teleste has some 30 offices worldwide and is listed on the nordic exchange in helsinki .,neutral,1
"alma media 's operating profit amounted to eur 11.9 mn , down from eur 15.0 mn a year earlier .",neutral,1
"with this , the company will exit the contract manufacturing service segment .",neutral,1
suomen paikallissanomat oy is part of alma media group and it currently publishes 15 local newspapers across finland .,neutral,1
the company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 september 2010 .,neutral,1
"paychex has more than 100 offices serving approximately 554,000 payroll clients nationwide as of may 31 , 2009 .",neutral,1
net sales have been eaten by the weak us dollar .,negative,0
"( adpnews ) - dec 30 , 2009 - finnish investment group neomarkka oyj ( hel : nembv ) said today that it will furlough employee in its unit reka cables ltd for less than 90 days , starting in january 2010 .",neutral,1
finnish forest machinery manufacturer ponsse has issued a profit warning .,negative,0
filmiteollisuus fine ab will be transferred to talentum oyj in the form of a subsidiary .,neutral,1
olli-pekka laine has been appointed as the chairman and erkki pehu-lehtonen as the vice chairman of the board .,neutral,1
affecto has participated in the program for the development of the norwegian pension system since 2007 .,neutral,1
it estimates the operating profit to further improve from the third quarter .,positive,2
"proha plc ( euronext :7327 ) announced today ( 19 may ) that its fully-owned subsidiary , safran software solutions as , has agreed to sell its 49 % share of safran north america llc to a sna holding as , an investment group based in norway .",neutral,1
tesco sales recover as focus returns to core business,positive,2
"however , the company saw its net profit for the third quarter down to eur 1.4 million from eur 1.5 million for the corresponding period of 2009 .",neutral,1
the production is to be liquidated before june 2009 and 325 employees loose their jobs .,neutral,1
danske bank is denmark 's largest bank with 3.5 million customers .,neutral,1
"protalix closed at $ 10.71 on friday on the american stock exchange , giving a market cap of $ 827 million .",neutral,1
net sales decreased to eur 91.6 mn from eur 109mn in the corresponding period in 2005 .,negative,0
"the most interesting export markets will be russia , the baltic countries and scandinavia .",neutral,1
the actions are expected to deliver annual cost savings of some eur15-20m .,positive,2
"nordea bank ab publ holds 6.000 alma media shares , representing 0.008 % of share capital and voting rights .",neutral,1
eli lilly & co. (lly) has broken out to a new high on astrazeneca collaboration,positive,2
"the chilled meat products category led the meat , fish and poultry market in finland , accounting for a share of 31.4 % .",neutral,1
"- the group -â¦ s cumulative sales during the review period were eur 48.2 million eur 53.1 million , 1-9/2007 and profit before taxes was eur 1.2 1.4 million .",neutral,1
aldata to share space optimization vision at apollo user group and 2009 category management association conferences ; company will unveil new solution that combines business intelligence with space planning data at conferences,neutral,1
net sales of the lehdentekijat unit was approximately eur 14 million in 2007 and it had 70 employees .,neutral,1
$lscc accumulation chart continues to make new highs showing accumulation continuing to take place http://stks.co/adpo,positive,2
"the business area has operations in finland , sweden , denmark , estonia , latvia and lithuania .",neutral,1
sports equipment sales also progressed well owing to the prolonged winter season .,positive,2
"also , westpac is to issue a benchmark , 18 month frn deal in euros .",neutral,1
"it is the last smartphone running maemo 5 , which is to be replaced with meego , a joint project between nokia , intel and the open source community .",neutral,1
pretty steady accumulation off support today.  purdy. $agu,positive,2
`` serving customers locally is one of the cornerstones of customer focus for us .,neutral,1
"`` we cut our frequency to new york last year , which explains the fall , '' he said .",negative,0
"$hsc receives 7-year, $50m contract at new saudi arabian steel mill",positive,2
operating result including non-recurring items rose to eur 146mn from a loss of eur 267mn in 2009 .,positive,2
"both operating profit and net sales for the three-month period increased , respectively from eur15 .1 m and eur131 .5 m , as compared to the corresponding period in 2005 .",positive,2
around 250 of these reductions will be implemented through pension arrangements .,neutral,1
sainsbury's says to outperform rivals in tough market,positive,2
finnish outokumpu technology has been awarded several new grinding technology contracts .,positive,2
starbucks' digital strategy to drive significant growth with customer loyalty $sbux https://t.co/xk6lz3ui3k,positive,2
margin call of zanadvorov has given the chance to make such purchase under the credit of deutsche bank for usd 560 million .,neutral,1
the soapstone deposits in the medvezhyegorsk area are expected to increase tulikivi 's current reserves considerably .,positive,2
"he answers questions on how many visitors conversations gets , how big the team is and what the problems are when setting up social media channels .",neutral,1
hargreaves lansdown share price falls as costs mount - although pensions ...,negative,0
"press: serco set to appoint roy gardner, ex-centrica, as chairman - ft",positive,2
intercontinental hotels denies reports of starwood merger talks,neutral,1
commencing the construction works of pearl plaza is a significant step in our russian projects .,positive,2
"with this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to renesas electronics corporation .",neutral,1
`` the announced investment of the carmaker hyundai for example sounds optimistically for us as of course new cars mean new tires . '',positive,2
"according to acnielsen 's scantrack study for the period week 10 of 2005 to week 9 of 2006 , coca-cola is the market leader in soft drinks in finland .",positive,2
$ymi http://stks.co/xyf long setup. closed above the 20ma. macd cross. november catalyst.,positive,2
"update 3-bp settles oil spill-related claims with halliburton, transocean",negative,0
"the contracts awarded to date , in connection with the system , amount to a total eur 36 million .",neutral,1
"because expenditures must be justified to pass budget approval hurdles , we believe our rop model can help make it easier for it and it security practitioners to make the business case for acquiring enabling security technologies and related control activities .",neutral,1
the coca-cola company and coca-cola femsa to acquire ades soy-based beverage business from unilever,positive,2
"we are honored to be acknowledged for our commitment to the industry , especially in asia pacific . ''",positive,2
"an  of the invention , released by the patent office , said : `` the chambers are pressurized .",neutral,1
"in the baltic countries , sales fell by 42.6 % .",neutral,1
"however , sales volumes in the food industry are expected to remain at relatively good levels in finland and in scandinavia , atria said .",positive,2
"the mill 's raw material need will increase by 100,000 m3 of wood .",neutral,1
"outotec , headquartered in espoo , finland , is a leading provider of process solutions , technologies and services for the mining and metallurgical industries .",neutral,1
"the one dark spot on the horizon , however , was the company 's performance in the finnish bottled water market .",neutral,1
current holdings via options - long: $aapl $v $gs $aet & short: $vxx,positive,2
"the process , technology , project management , basic engineering and quality assurance within forest industry will be consolidated in vantaa , southern finland .",neutral,1
$pcln runs into the 50sma on the acquisition news,positive,2
"vaahto pulp & paper , of finnish vaahto group , has been awarded an order to renovate finnish-swedish forest industry company stora enso 's paperboard machine at the ingerois board mill in finland .",positive,2
nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,positive,2
$tza is a rocket ship!!!,positive,2
"finnish it solutions provider affecto oyj said today that it has won a frame contract , valued at some eur2m , to implement the next phase of its insurance application for south african mutual & federal insurance company limited m&f .",positive,2
industry investment is very interested in glaston 's solar energy projects .,positive,2
the winner does not have to be present to win .,neutral,1
scanfil will execute the temporary lay-offs by mid-october 2009 and the job cuts by march 2010 .,negative,0
"furthermore , our fully electrically driven cranes are environmentally friendly .",positive,2
finnish-swedish tietoenator is expanding its business quickly in russia .,positive,2
